,City,Country Code,Longitude,Latitude,Temperature,Wind Speed,Cloudiness,Humidity
0,Ushuaia,AR,-68.31,-54.81,48.97,12.75,75,76
1,Hamilton,BM,-64.78,32.3,62.6,20.8,75,48
2,Saint-Philippe,RE,55.77,-21.36,73.4,4.7,0,73
3,Cape Town,ZA,18.42,-33.93,64.4,8.05,0,82
4,Puerto Cabezas,NI,-83.39,14.04,86.0,6.93,75,74
5,Gilleleje,DK,12.31,56.12,30.67,16.11,90,86
6,Arraial do Cabo,BR,-42.02,-22.97,86.0,20.8,20,62
7,Malanje,AO,16.35,-9.54,70.04,3.71,8,91
8,Vestmannaeyjar,IS,-20.27,63.44,40.88,29.77,80,91
9,Longyearbyen,SJ,15.64,78.22,10.4,8.05,75,78
10,Qaanaaq,GL,-69.36,77.48,-8.0,7.96,0,77
11,Bredasdorp,ZA,20.04,-34.53,68.0,13.87,24,42
12,Kochi,IN,76.25,9.96,84.2,2.71,40,79
13,Hermanus,ZA,19.24,-34.42,65.76,5.61,24,48
14,San Luis,AR,-66.34,-33.3,80.39,11.99,0,29
15,Baijiantan,CN,85.18,45.63,48.62,3.27,68,81
16,Salalah,OM,54.1,17.01,82.4,3.36,0,54
17,Ushtobe,KZ,77.98,45.25,39.53,1.92,32,80
18,Bambous Virieux,MU,57.76,-20.34,78.8,3.36,40,78
19,Suez,EG,32.54,29.97,64.1,3.15,76,44
20,Buraydah,SA,43.97,26.33,80.6,6.93,0,19
21,Iqaluit,CA,-68.52,63.75,1.4,6.93,20,64
22,Port Elizabeth,ZA,25.57,-33.92,69.8,4.7,0,83
23,Ravar,IR,56.81,31.27,52.85,1.7,0,23
24,Upernavik,GL,-56.15,72.79,-5.12,10.76,8,96
25,Port Alfred,ZA,26.89,-33.59,75.98,14.45,12,77
26,Lima,PE,-77.04,-12.06,73.77,2.93,0,63
27,Sur,OM,59.53,22.57,77.51,1.59,0,85
28,Ilulissat,GL,-51.1,69.22,-0.41,1.12,20,49
29,Benjamin Constant,BR,-70.03,-4.38,79.72,2.24,90,78
30,Jamestown,SH,-5.72,-15.94,74.18,2.15,20,100
31,Dikson,RU,80.55,73.51,-10.88,16.58,8,72
32,Nova Venecia,BR,-40.4,-18.71,82.91,7.85,20,72
33,Pahalgam,IN,75.33,34.03,23.96,1.7,92,89
34,San Cristobal,EC,-79.44,-1.02,66.39,3.27,80,100
35,Maniitsoq,GL,-52.9,65.42,7.67,4.83,24,90
36,Shahreza,IR,51.87,32.01,43.85,3.94,0,28
37,Kalemie,CD,29.2,-5.95,76.56,4.61,12,100
38,Sao Felix do Xingu,BR,-51.99,-6.64,87.14,3.04,24,64
39,Victoria,SC,55.45,-4.62,80.6,2.24,0,78
40,Balkanabat,TM,54.36,39.51,54.42,2.48,0,90
41,Humberto de Campos,BR,-43.46,-2.6,83.63,10.42,0,95
42,Ordu,TR,37.88,40.98,50.06,1.48,0,52
43,Miandrivazo,MG,45.46,-19.53,77.19,2.37,0,51
44,Lagoa,PT,-8.45,37.14,62.6,6.93,0,88
45,Souillac,MU,57.52,-20.52,78.8,3.36,40,78
46,Punta Arenas,CL,-70.91,-53.16,54.43,18.34,40,24
47,Tasiilaq,GL,-37.64,65.61,32.0,32.21,90,100
48,Mehamn,NO,27.85,71.03,27.55,10.29,40,73
49,Narsaq,GL,-46.05,60.91,26.6,5.82,40,35
50,Damaturu,NG,11.96,11.75,91.01,7.74,0,25
51,Gayny,RU,54.33,60.3,-0.53,3.6,0,65
52,Neyshabur,IR,58.79,36.21,51.68,2.59,0,58
53,Cap Malheureux,MU,57.61,-19.98,78.8,3.36,40,78
54,Busselton,AU,115.35,-33.64,63.87,9.64,64,100
55,Carnarvon,AU,113.63,-24.87,78.5,21.83,0,95
56,Albany,AU,117.88,-35.02,55.01,10.09,8,94
57,Torbay,CA,-52.73,47.66,44.6,6.93,75,22
58,Geraldton,AU,114.6,-28.77,60.8,9.17,40,82
59,Beyneu,KZ,55.19,45.32,47.31,14.0,92,83
60,Bolu,TR,31.61,40.73,41.19,2.15,0,98
61,Kalmeshwar,IN,78.91,21.24,80.6,3.36,0,28
62,Chuy,UY,-53.46,-33.69,71.97,14.23,20,80
63,Vicosa,BR,-42.88,-20.75,81.11,4.05,32,55
64,Namibe,AO,12.15,-15.19,79.44,4.16,88,100
65,Jackson,US,-88.82,35.61,70.7,17.22,1,56
66,Olinda,BR,-43.41,-22.82,87.37,13.87,20,62
67,Banepa,NP,85.52,27.63,59.0,4.7,20,72
68,Vangaindrano,MG,47.6,-23.35,71.61,2.59,56,93
69,Makat,KZ,53.35,47.65,39.21,10.76,12,87
70,Hambantota,LK,81.12,6.12,81.92,1.7,64,100
71,Ambovombe,MG,46.09,-25.18,76.47,15.68,0,86
72,Hithadhoo,MV,73.08,-0.6,84.57,7.4,56,100
73,Isla Mujeres,MX,-86.73,21.23,82.4,10.29,40,65
74,Matara,LK,80.54,5.95,78.81,2.59,36,98
75,Port Hawkesbury,CA,-61.36,45.62,46.4,18.34,1,20
76,Amapa,BR,-56.23,-1.83,92.09,5.17,12,55
77,Virginia Beach,US,-75.98,36.85,47.88,5.82,90,65
78,Bani Walid,LY,14.0,31.76,51.99,15.01,20,71
79,Port Blair,IN,92.75,11.67,83.27,7.07,32,100
80,Trincomalee,LK,81.23,8.58,75.17,3.71,24,96
81,Leh,IN,77.58,34.16,3.17,0.69,88,72
82,Nalut,LY,10.98,31.86,55.91,7.96,0,41
83,Saldanha,ZA,17.94,-33.01,64.4,3.36,8,72
84,Tourlaville,FR,-1.57,49.64,46.4,18.34,40,87
85,Banda Aceh,ID,95.32,5.56,73.77,1.92,24,96
86,Nanortalik,GL,-45.24,60.14,26.52,27.09,44,100
87,Pasni,PK,63.48,25.26,83.76,20.49,0,66
88,Saurimo,AO,20.4,-9.66,73.14,4.38,12,84
89,Bourges,FR,2.4,47.08,54.05,17.22,75,93
90,Puquio,PE,-74.12,-14.69,53.16,5.17,64,100
91,East London,ZA,27.91,-33.02,69.8,5.82,0,94
92,Tsybli,UA,31.57,49.99,39.2,4.47,90,83
93,Kruisfontein,ZA,24.73,-34.0,75.71,10.76,0,58
94,Gamba,GA,10.02,-2.72,79.89,7.74,48,100
95,Roald,NO,6.12,62.58,30.69,9.17,0,50
96,Bajil,YE,43.29,15.06,73.59,2.93,0,64
97,Rennes,FR,-1.68,48.11,50.52,8.05,90,76
98,Dvinskoy,RU,45.12,62.16,7.44,3.04,8,83
99,Thompson,CA,-97.86,55.74,8.6,18.34,20,42
100,Hemsedal,NO,8.55,60.86,15.27,2.37,0,62
101,Libreville,GA,9.45,0.39,82.4,6.93,20,78
102,Adamovka,RU,59.94,51.52,27.92,9.42,80,89
103,Kedrovyy,RU,91.82,56.17,32.0,8.95,0,73
104,Sao Filipe,CV,-24.5,14.9,72.24,14.23,0,91
105,Tamandare,BR,-70.75,-8.28,78.8,3.36,90,78
106,Annau,TM,58.52,37.89,60.8,6.93,0,72
107,Nola,CF,16.05,3.52,74.67,1.36,68,87
108,Mar del Plata,AR,-67.52,-46.43,64.64,19.15,24,49
109,Srivardhan,IN,73.02,18.03,74.63,2.93,32,97
110,Springbok,ZA,17.88,-29.67,72.83,6.06,0,30
111,Velikiy Ustyug,RU,46.3,60.76,3.21,1.92,0,55
112,Solginskiy,RU,41.34,61.05,4.47,6.73,0,60
113,Bonthe,SL,-12.5,7.53,86.69,5.61,8,61
114,Coihaique,CL,-72.07,-45.58,56.03,4.7,90,76
115,Port-Gentil,GA,8.78,-0.72,80.6,3.36,40,83
116,Sawakin,SD,37.33,19.1,75.35,4.38,0,80
117,Saint George,BM,-64.68,32.38,62.6,20.8,75,48
118,Muscle Shoals,US,-87.67,34.75,65.08,20.8,20,60
119,Clyde River,CA,-68.59,70.47,-2.21,4.7,90,77
120,Nouakchott,MR,-15.98,18.08,71.61,4.38,0,81
121,Cidreira,BR,-50.22,-30.17,70.17,13.89,92,100
122,Bosaso,SO,49.18,11.28,78.14,8.63,12,100
123,Vila Franca do Campo,PT,-25.43,37.72,62.6,11.41,75,82
124,Ismailia,EG,32.27,30.6,72.38,11.99,76,37
125,Ponta do Sol,CV,-25.09,17.2,69.59,16.02,0,100
126,Grindavik,IS,-22.43,63.84,38.48,20.8,75,86
127,Nata,BW,26.19,-20.21,75.08,13.67,0,63
128,Tromso,NO,18.96,69.65,28.4,3.36,75,86
129,Praia,CV,-23.51,14.92,75.2,17.22,20,60
130,Lerwick,GB,-1.15,60.15,39.2,33.33,92,80
131,Ikovka,RU,64.94,55.61,31.02,10.2,68,88
132,Sciacca,IT,13.08,37.51,53.6,3.36,40,87
133,Saint-Francois,GP,-61.27,16.25,77.0,9.17,64,78
134,Praia da Vitoria,PT,-27.07,38.73,68.0,13.78,20,72
135,Bansko,BG,23.49,41.84,32.51,0.69,64,100
136,San Rafael,AR,-68.33,-34.61,80.34,10.98,0,24
137,Luanda,AO,13.24,-8.83,82.4,10.29,75,78
138,Cockburn Town,TC,-71.14,21.46,73.28,20.6,68,100
139,Paracatu,BR,-46.87,-17.22,87.05,8.75,12,45
140,Maloy,NO,5.11,61.94,31.59,4.7,0,43
141,Mocuba,MZ,36.99,-16.84,79.58,6.17,48,81
142,Pavilosta,LV,21.19,56.89,26.6,2.24,12,63
143,Aksu,CN,80.26,41.12,46.55,2.82,76,67
144,Georgetown,SH,-14.42,-7.93,80.57,9.75,20,100
145,Manakara,MG,48.01,-22.14,74.54,4.72,68,100
146,Touros,BR,-35.46,-5.2,82.55,10.31,64,88
147,Dingle,IE,-10.27,52.14,45.65,10.76,92,96
148,Bathsheba,BB,-59.52,13.22,86.0,16.11,40,66
149,Kaoma,ZM,24.8,-14.8,74.81,8.52,48,66
150,Ambilobe,MG,49.05,-13.19,71.07,4.83,92,100
151,Den Helder,NL,4.76,52.96,42.19,11.41,75,93
152,Aswan,EG,32.9,24.09,93.2,10.29,0,14
153,Paamiut,GL,-49.67,61.99,22.16,4.83,88,100
154,Marawi,SD,31.82,18.48,83.04,7.4,0,20
155,Lavumisa,SZ,31.89,-27.31,70.17,4.27,0,77
156,Ippy,CF,21.2,6.26,80.34,7.96,0,67
157,Mahibadhoo,MV,72.97,3.78,83.94,2.93,48,100
158,Jalalabad,AF,70.46,34.43,75.2,3.36,1,17
159,Bathurst,CA,-65.65,47.63,37.4,6.93,5,40
160,Vredendal,ZA,18.49,-31.68,60.59,3.94,0,68
161,San Juan de Colon,VE,-72.26,8.03,86.9,2.26,40,88
162,Cay,TR,31.03,38.59,56.76,10.65,12,35
163,Vardo,NO,31.11,70.37,21.45,19.46,40,68
164,Ribeira Grande,PT,-28.7,38.52,66.2,13.87,75,82
165,Macapa,BR,-51.07,0.05,93.2,8.05,75,56
166,Chudniv,UA,28.12,50.05,34.89,8.63,68,88
167,Mitsamiouli,KM,43.28,-11.38,77.0,2.24,20,94
168,Havoysund,NO,24.66,71.0,26.58,17.22,75,68
169,Bardiyah,LY,25.09,31.76,63.11,8.97,92,89
170,Bloomington,US,-88.99,40.47,41.34,5.82,90,100
171,Klaksvik,FO,-6.59,62.23,42.8,33.33,64,70
172,Turukhansk,RU,87.96,65.8,7.04,19.93,48,83
173,Florianopolis,BR,-48.55,-27.6,78.8,6.93,75,74
174,Pula,HR,13.85,44.87,44.91,5.82,0,80
175,Nouadhibou,MR,-17.03,20.93,68.0,20.8,0,72
176,Komatipoort,ZA,31.95,-25.43,73.19,7.85,0,79
177,Great Yarmouth,GB,1.73,52.61,48.2,6.93,40,93
178,Bumba,CD,22.47,2.18,77.78,3.6,12,85
179,Urubicha,BO,-63.08,-15.63,81.56,3.49,20,70
180,Angoche,MZ,39.91,-16.23,85.56,14.34,0,99
181,Gairo,TZ,36.87,-6.14,67.88,8.3,20,83
182,Jayanca,PE,-79.82,-6.39,82.4,13.87,0,61
183,Peniche,PT,-9.38,39.36,60.94,6.93,0,48
184,Marataizes,BR,-40.82,-21.04,81.96,13.89,0,81
185,Chyhyryn,UA,32.67,49.08,32.46,2.59,12,83
186,Sorland,NO,12.69,67.67,33.8,10.29,40,64
187,Puerto Asis,CO,-76.5,0.51,70.94,2.71,92,100
188,Adrar,DZ,-0.29,27.87,71.6,14.99,0,10
189,Sao Joao da Barra,BR,-41.05,-21.64,86.0,12.75,20,55
190,Varzea da Palma,BR,-44.73,-17.6,86.51,7.85,0,46
191,Waynesboro,US,-87.76,35.32,67.48,20.8,20,60
192,Belyy Yar,RU,91.39,53.6,33.8,11.18,0,69
193,Dwarka,IN,77.04,28.58,78.8,6.17,0,36
194,San Lorenzo,AR,-65.49,-24.73,67.23,11.41,75,52
195,Ancud,CL,-73.83,-41.87,56.94,9.19,92,98
196,Opuwo,NA,13.84,-18.06,66.08,5.17,68,94
197,Vuktyl,RU,57.31,63.86,-4.49,4.27,0,65
198,Wyszkow,PL,21.46,52.59,33.8,8.05,75,74
199,Comodoro Rivadavia,AR,-67.48,-45.87,64.4,10.29,40,55
200,Zaliznychne,UA,36.17,47.65,35.6,8.95,75,100
201,Kirkenes,NO,30.05,69.73,19.99,10.29,90,79
202,Starosubkhangulovo,RU,57.43,53.1,24.5,10.2,80,82
203,Holguin,CU,-76.26,20.89,80.6,16.11,75,51
204,Gouyave,GD,-61.73,12.16,84.2,17.22,40,74
205,Mpigi,UG,32.32,0.23,72.83,7.18,12,100
206,Porto Velho,BR,-63.87,-8.75,78.8,3.36,75,78
207,Krasnoyarka,RU,73.1,55.33,19.4,8.95,0,79
208,Dabola,GN,-11.11,10.74,94.43,5.61,24,18
209,Mahebourg,MU,57.7,-20.41,78.8,3.36,40,78
210,Plettenberg Bay,ZA,23.37,-34.05,71.61,18.59,8,87
211,Dasoguz,TM,59.97,41.84,54.36,16.11,0,43
212,Mangrol,IN,76.51,25.33,68.51,4.5,0,39
213,Trani,IT,16.42,41.28,47.08,2.24,0,81
214,Manoel Urbano,BR,-69.26,-8.84,82.77,2.93,56,73
215,Albania,CO,-73.91,5.76,70.44,2.93,88,89
216,Songea,TZ,35.65,-10.68,68.01,2.15,76,92
217,Biltine,TD,20.93,14.53,85.29,5.73,0,29
218,Villamontes,BO,-63.47,-21.26,70.58,3.6,32,78
219,Pangnirtung,CA,-65.72,66.15,-2.21,16.11,20,64
220,Saint-Augustin,CA,-73.98,45.63,44.04,14.99,90,33
221,San Andres,CO,-76.58,8.22,87.8,13.87,40,62
222,Bodden Town,KY,-81.25,19.28,82.4,23.04,40,65
223,Youghal,IE,-7.85,51.95,44.6,10.29,75,75
224,Castro,CL,-73.76,-42.48,56.36,7.85,92,97
225,Abha,SA,42.5,18.22,68.09,3.36,0,77
226,Sibenik,HR,17.18,45.81,39.26,1.36,0,78
227,Bubaque,GW,-15.83,11.28,86.0,5.82,92,42
228,Barrancas,CO,-72.8,10.96,80.6,13.87,75,78
229,Verkhovazhye,RU,42.05,60.75,9.38,3.6,68,69
230,Kangaba,ML,-8.41,11.94,96.59,8.08,32,17
231,Aleksandrow Kujawski,PL,18.69,52.88,33.8,4.7,40,69
232,Puerto Carreno,CO,-67.49,6.19,93.2,6.93,75,44
233,Asosa,ET,34.53,10.07,81.11,3.71,88,39
234,Barreirinhas,BR,-42.83,-2.75,80.75,6.4,68,100
235,Omboue,GA,9.26,-1.57,83.45,10.98,92,100
236,Rawson,AR,-65.11,-43.3,64.73,9.64,92,46
237,Conde,BR,-37.61,-11.81,81.96,10.09,92,78
238,Abalak,NE,6.28,15.46,89.03,9.31,0,17
239,Zharkent,KZ,80.0,44.17,35.03,1.14,80,89
240,Atasu,KZ,71.64,48.68,27.24,7.29,0,87
241,Mursalimkino,RU,58.56,55.04,27.69,11.21,88,85
242,Marapanim,BR,-47.7,-0.71,81.47,8.86,8,100
243,Marsa Matruh,EG,27.25,31.35,64.4,8.05,92,72
244,Arak,IR,49.69,34.1,53.75,6.06,0,41
245,Taoudenni,ML,-3.98,22.68,79.22,14.34,68,10
246,Coari,BR,-63.14,-4.09,84.44,5.39,24,79
247,Sisimiut,GL,-53.67,66.94,5.19,2.37,12,82
248,Minab,IR,57.07,27.15,78.8,4.7,0,69
249,Chapais,CA,-74.86,49.78,41.0,16.11,90,35
250,Macon,FR,-0.53,44.06,53.6,10.29,90,93
251,Verkhnyaya Inta,RU,60.32,65.99,0.38,6.85,0,62
252,Luderitz,NA,15.16,-26.65,64.4,14.99,0,77
253,Walvis Bay,NA,14.51,-22.95,66.57,9.42,0,95
254,Araouane,ML,-3.53,18.9,88.26,10.2,64,11
255,Huntingdon,CA,-122.26,49.01,48.51,13.87,90,93
256,Madimba,TZ,40.33,-10.4,82.01,5.39,88,100
257,Aleksandrov Gay,RU,48.57,50.14,38.45,11.21,92,99
258,Ballater,GB,-3.04,57.05,42.87,6.93,90,100
259,Ewo,CG,14.81,-0.88,77.33,4.83,8,81
260,Soria,ES,-2.46,41.76,52.49,6.06,8,60
261,Pitimbu,BR,-34.81,-7.47,86.0,17.22,75,58
262,Axams,AT,11.28,47.23,42.8,8.05,75,60
263,Harper,LR,-7.71,4.38,83.45,12.66,0,98
264,Mount Darwin,ZW,31.58,-16.77,76.88,10.54,80,64
265,Kasongo-Lunda,CD,16.82,-6.48,77.87,2.48,64,80
266,Uusikaupunki,FI,21.41,60.8,23.0,5.82,0,57
267,Hofn,IS,-15.21,64.25,37.91,29.66,92,100
268,Aksarka,RU,67.8,66.56,-14.16,3.83,20,64
269,Valle del Guamuez,CO,-76.92,0.45,69.54,1.92,92,99
270,Pegnitz,DE,11.54,49.76,39.56,2.93,90,69
271,Gari,RU,62.35,59.43,11.94,5.61,0,62
272,Sarevere,EE,25.43,58.79,11.72,4.94,0,70
273,Bugulma,RU,52.8,54.54,28.32,12.21,80,93
274,Pokhara,NP,83.99,28.21,56.63,4.5,0,46
275,Sioux Lookout,CA,-91.92,50.1,36.5,13.87,40,74
276,Bolpur,IN,87.7,23.66,73.19,5.95,0,44
277,Podyuga,RU,40.86,61.09,3.12,5.61,0,64
278,Macamic,CA,-79.0,48.75,33.8,13.87,90,86
279,Saquarema,BR,-42.51,-22.93,87.21,20.8,20,62
280,Barroquinha,BR,-41.13,-3.02,89.6,11.41,20,62
281,Hameenlinna,FI,24.46,61.0,19.4,2.24,0,44
282,Molina,CL,-71.28,-35.11,77.0,8.05,0,41
283,Nisia Floresta,BR,-35.21,-6.09,86.0,18.34,40,66
284,Mazagao,BR,-51.29,-0.12,93.2,8.05,75,56
285,Padang,ID,100.36,-0.92,78.59,3.49,32,100
286,Inhambane,MZ,35.38,-23.87,78.59,13.89,92,93
287,Kirkland Lake,CA,-80.03,48.15,32.0,19.46,90,99
288,Salinas,EC,-78.13,0.49,57.2,9.17,90,76
289,Rochegda,RU,43.41,62.67,14.6,2.93,44,72
290,Nsanje,MW,35.26,-16.92,80.61,10.2,88,71
291,Lyuban,BY,28.0,52.8,29.54,11.77,80,85
292,Derzhavinsk,KZ,66.31,51.1,23.33,13.11,0,82
293,Feijo,BR,-70.35,-8.16,78.8,3.36,90,78
294,Bonavista,CA,-53.11,48.65,38.22,4.16,0,73
295,Kalmunai,LK,81.82,7.42,74.81,1.7,56,99
296,Placido de Castro,BR,-67.19,-10.34,81.74,2.93,68,73
297,Palafrugell,ES,3.16,41.92,53.6,5.82,40,76
298,Raudeberg,NO,5.14,61.99,32.72,1.12,0,74
299,Thunder Bay,CA,-89.26,48.41,37.4,10.29,90,74
300,Iberia,PE,-69.49,-11.41,80.34,3.04,36,65
301,Tempio Pausania,IT,9.1,40.9,53.6,12.75,90,71
302,Orlovka,RU,39.21,46.73,46.91,10.42,12,76
303,Mizan Teferi,ET,35.58,6.99,67.11,2.82,12,77
304,Chute-aux-Outardes,CA,-68.38,49.12,35.31,5.82,1,34
305,Diffa,NE,12.61,13.32,93.57,7.63,0,21
306,Pimentel,PE,-79.94,-6.84,82.4,13.87,0,61
307,Saint-Joseph,RE,55.62,-21.37,73.4,4.7,0,73
308,Ikom,NG,8.72,5.96,77.69,2.93,48,88
309,Boddam,GB,-1.78,57.47,41.0,6.93,90,100
310,Puerto Ayora,EC,-90.35,-0.74,82.4,14.99,0,69
311,Jaciara,BR,-54.98,-15.95,79.62,5.28,88,89
312,Nuuk,GL,-51.74,64.17,17.6,4.7,90,72
313,Itarema,BR,-39.92,-2.92,80.75,8.63,32,100
314,Ponta Delgada,PT,-25.67,37.73,62.6,11.41,75,82
315,Hobyo,SO,48.53,5.35,80.79,12.66,44,85
316,Brigantine,US,-74.36,39.41,42.87,5.82,1,60
317,Carbonia,IT,8.53,39.17,52.81,10.29,20,66
318,Teguise,ES,-13.56,29.06,69.8,16.11,20,60
319,Nyrob,RU,56.73,60.74,-3.59,3.83,0,63
320,Iskilip,TR,34.47,40.73,46.59,5.5,12,61
321,Dreznica,BA,17.28,43.53,53.6,9.17,20,34
322,Kholm,AF,67.7,36.69,68.0,5.82,20,42
323,Muros,ES,-9.06,42.77,50.0,6.93,40,81
324,Caluquembe,AO,14.68,-13.78,61.4,2.37,48,97
325,Primorsk,RU,28.62,60.37,22.25,3.71,56,80
326,Westport,IE,-9.52,53.8,39.2,9.17,40,80
327,Coquimbo,CL,-71.34,-29.95,60.8,10.29,75,77
328,Totskoye,RU,52.75,52.53,26.57,9.42,20,89
329,Berlevag,NO,29.09,70.86,23.72,10.29,40,73
330,Gramada,BG,22.66,43.83,34.62,8.3,0,87
331,Tortoli,IT,9.66,39.93,55.4,10.29,20,58
332,Roxana,CR,-83.75,10.27,80.64,24.16,20,50
333,Hinganghat,IN,78.84,20.55,80.6,3.36,0,28
334,Arequipa,PE,-71.54,-16.4,68.0,13.87,20,52
335,Quatre Cocos,MU,57.76,-20.21,78.8,3.36,40,78
336,Porto Novo,CV,-25.06,17.02,75.2,21.92,20,57
337,Vokhtoga,RU,41.03,58.81,6.95,4.27,36,69
338,Camabatela,AO,15.37,-8.19,69.68,6.4,12,85
